"tct";"ui";"lib_tct";"lib_ui";"annee";"activite";"categorie";"autorite_organisatrice";"nom_commercial_service_regional"
"LVW";"9150";"TAGV (Train A Grande Vitesse - à charge)";"EUROSTAR FRANCE";2024;"TAGV";"Service librement organisé";;
"RBQ";"6687";"Train transport régional à charge, VL>=160 km/h, hors TAGV, Léman Express";"LEMANIS - SNCF-TER";2024;"TER";"Service conventionné";"Auvergne-Rhône-Alpes";"TER Auvergne-Rhône-Alpes"
"ZW1";"5000";"Tramway";"MULHOUSE ALSACE AGGLOMERATION - Pas d'EF indiquée";2024;"TER";"Service conventionné";"Grand Est";"TER Fluo"
"NC1";"9159";"GL Inter-Villes - Train classique, VL< 160 km/h";"OSLO";2024;"TGL";"Service librement organisé";;
"NB1";"9159";"GL Inter-Villes - Train classique, VL>= 160 km/h";"OSLO";2024;"TGL";"Service librement organisé";;
"LVD";"9156";"TAGV - Sud-Est, à charge";"RENFE VIAJEROS";2024;"TAGV";"Service librement organisé";;
"LVW";"9156";"TAGV (Train A Grande Vitesse - à charge)";"RENFE VIAJEROS";2024;"TAGV";"Service librement organisé";;
"LVJ";"9156";"TAGV International France-Espagne, à charge";"RENFE VIAJEROS";2024;"TAGV";"Service librement organisé";;
"LVR";"9170";"TAGV International France Italie, à charge";"SNCF VOYAGES ITALIA";2024;"TAGV";"Service librement organisé";;
"NCP";"1987";"Train TET à charge, VL<160 km/h, Aubrac";"SNCF-INTERCITES";2024;"TET";"Service conventionné";"Etat";"Intercités"
"NCB";"1987";"Train TET à charge, VL<160 km/h, Clermont-Lyon";"SNCF-INTERCITES";2024;"TET";"Service conventionné";"Etat";"Intercités"
"NCF";"1987";"Train TET à charge, VL<160 km/h, Metz-Lyon";"SNCF-INTERCITES";2024;"TET";"Service conventionné";"Etat";"Intercités"
"NCD";"1987";"Train TET à charge, VL<160 km/h, Nantes-Bordeaux";"SNCF-INTERCITES";2024;"TET";"Service conventionné";"Etat";"Intercités"
"NCC";"1987";"Train TET à charge, VL<160 km/h, Nantes-Lyon";"SNCF-INTERCITES";2024;"TET";"Service conventionné";"Etat";"Intercités"
"NCM";"1987";"Train TET à charge, VL<160 km/h, Paris-Clermont";"SNCF-INTERCITES";2024;"TET";"Service conventionné";"Etat";"Intercités"
"NCS";"1987";"Train TET à charge, VL<160 km/h, Paris-Toulouse";"SNCF-INTERCITES";2024;"TET";"Service conventionné";"Etat";"Intercités"
"NCE";"1987";"Train TET à charge, VL<160 km/h, Toulouse-Hendaye";"SNCF-INTERCITES";2024;"TET";"Service conventionné";"Etat";"Intercités"
"NCA";"1987";"Train TET à charge, VL<160 km/h, Transversale Sud";"SNCF-INTERCITES";2024;"TET";"Service conventionné";"Etat";"Intercités"
"NBP";"1987";"Train TET à charge, VL>=160 km/h, Aubrac";"SNCF-INTERCITES";2024;"TET";"Service conventionné";"Etat";"Intercités"
"NBB";"1987";"Train TET à charge, VL>=160 km/h, Clermont-Lyon";"SNCF-INTERCITES";2024;"TET";"Service conventionné";"Etat";"Intercités"
"NBF";"1987";"Train TET à charge, VL>=160 km/h, Metz-Lyon";"SNCF-INTERCITES";2024;"TET";"Service conventionné";"Etat";"Intercités"
"NBD";"1987";"Train TET à charge, VL>=160 km/h, Nantes-Bordeaux";"SNCF-INTERCITES";2024;"TET";"Service conventionné";"Etat";"Intercités"
"NBC";"1987";"Train TET à charge, VL>=160 km/h, Nantes-Lyon";"SNCF-INTERCITES";2024;"TET";"Service conventionné";"Etat";"Intercités"
"NBM";"1987";"Train TET à charge, VL>=160 km/h, Paris-Clermont";"SNCF-INTERCITES";2024;"TET";"Service conventionné";"Etat";"Intercités"
"NBS";"1987";"Train TET à charge, VL>=160 km/h, Paris-Toulouse";"SNCF-INTERCITES";2024;"TET";"Service conventionné";"Etat";"Intercités"
"NBE";"1987";"Train TET à charge, VL>=160 km/h, Toulouse-Hendaye";"SNCF-INTERCITES";2024;"TET";"Service conventionné";"Etat";"Intercités"
"NBA";"1987";"Train TET à charge, VL>=160 km/h, Transversale Sud";"SNCF-INTERCITES";2024;"TET";"Service conventionné";"Etat";"Intercités"
"LCE";"1987";"Train TET de nuit à charge, VL<160 km/h, Occitan 2 Rodez";"SNCF-INTERCITES";2024;"TET";"Service conventionné";"Etat";"Intercités de nuit"
"LCF";"1987";"Train TET de nuit à charge, VL<160 km/h, Paris Aurillac";"SNCF-INTERCITES";2024;"TET";"Service conventionné";"Etat";"Intercités de nuit"
"LCH";"1987";"Train TET de nuit à charge, VL<160 km/h, Paris Cerbere";"SNCF-INTERCITES";2024;"TET";"Service conventionné";"Etat";"Intercités de nuit"
"LCD";"1987";"Train TET de nuit à charge, VL<160 km/h, Pyrénéen";"SNCF-INTERCITES";2024;"TET";"Service conventionné";"Etat";"Intercités de nuit"
"LCB";"1987";"Train TET de nuit à charge, VL<160 km/h, Sud Est";"SNCF-INTERCITES";2024;"TET";"Service conventionné";"Etat";"Intercités de nuit"
"LCC";"1987";"Train TET de nuit à charge, VL<160 km/h, Sud Ouest";"SNCF-INTERCITES";2024;"TET";"Service conventionné";"Etat";"Intercités de nuit"
"LBE";"1987";"Train TET de nuit à charge, VL>=160 km/h, Occitan 2 Rodez";"SNCF-INTERCITES";2024;"TET";"Service conventionné";"Etat";"Intercités de nuit"
"LBF";"1987";"Train TET de nuit à charge, VL>=160 km/h, Paris Aurillac";"SNCF-INTERCITES";2024;"TET";"Service conventionné";"Etat";"Intercités de nuit"
"LBH";"1987";"Train TET de nuit à charge, VL>=160 km/h, Paris Cerbere";"SNCF-INTERCITES";2024;"TET";"Service conventionné";"Etat";"Intercités de nuit"
"LBD";"1987";"Train TET de nuit à charge, VL>=160 km/h, Pyrénéen";"SNCF-INTERCITES";2024;"TET";"Service conventionné";"Etat";"Intercités de nuit"
"LBB";"1987";"Train TET de nuit à charge, VL>=160 km/h, Sud Est";"SNCF-INTERCITES";2024;"TET";"Service conventionné";"Etat";"Intercités de nuit"
"LBC";"1987";"Train TET de nuit à charge, VL>=160 km/h, Sud Ouest";"SNCF-INTERCITES";2024;"TET";"Service conventionné";"Etat";"Intercités de nuit"
"LCS";"1987";"Voyageurs GL - Trains spéciaux (pèlerins et autres), V< 160 km/h, à charge";"SNCF-INTERCITES";2024;"TET";"Service conventionné";"Etat";"Intercités"
"LBS";"1987";"Voyageurs GL - Trains spéciaux (pèlerins et autres), V>= 160 km/h, à charge";"SNCF-INTERCITES";2024;"TET";"Service conventionné";"Etat";"Intercités"
"LBG";"1987";"Voyageurs internationaux - Trains spéciaux (pèlerins et autres) à charge";"SNCF-INTERCITES";2024;"TET";"Service conventionné";"Etat";"Intercités"
"LBL";"1987";"Voyageurs internationaux - VL>=160km/h, non TAGV (hors spéciaux), à charge";"SNCF-INTERCITES";2024;"TET";"Service conventionné";"Etat";"Intercités"
"VBL";"1987";"Voyageurs internationaux de nuit - VL>=160km/h, non TAGV (hors spéciaux), à charge";"SNCF-INTERCITES";2024;"TET";"Service conventionné";"Etat";"Intercités de nuit"
"RVL";"1387";"Train transport régional à charge, TAGV, Hauts-de-France";"SNCF-TER";2024;"TER";"Service conventionné";"Hauts-de-France";"TER Hauts-de-France"
"RCK";"1387";"Train transport régional à charge, VL<160 km/h, Auvergne-Rhône-Alpes";"SNCF-TER";2024;"TER";"Service conventionné";"Auvergne-Rhône-Alpes";"TER Auvergne-Rhône-Alpes"
"RCD";"1387";"Train transport régional à charge, VL<160 km/h, Bourgogne-Franche-Comté";"SNCF-TER";2024;"TER";"Service conventionné";"Bourgogne-Franche-Comté";"Train Mobigo"
"RCJ";"1387";"Train transport régional à charge, VL<160 km/h, Bretagne";"SNCF-TER";2024;"TER";"Service conventionné";"Bretagne";"TER BreizhGo"
"RCU";"1387";"Train transport régional à charge, VL<160 km/h, Centre-Val de Loire";"SNCF-TER";2024;"TER";"Service conventionné";"Centre-Val de Loire";"Train REMI"
